term,broad_group,corpus_frequency
និង,Conjunctions,36396
នឹកស្មាន,Auxiliary Verbs / Aspect Markers,20
នឹកស្រឡាញ់,Function Nouns,0
នឹង,Auxiliary Verbs / Aspect Markers,8682
នឹងកំណត់,Auxiliary Verbs / Aspect Markers,0
នឹងតែ,Auxiliary Verbs / Aspect Markers,0
នឹងបន្ដិច,Auxiliary Verbs / Aspect Markers,0
នូវ,Particles & Discourse Markers,5586
នេះ,Determiners & Quantifiers,17111
នេះជា,Function Nouns,0
នេះតែប៉ុណ្ណោះ,Particles & Discourse Markers,0
នេះត្រូវជា,Prepositions / Relational Words,0
នេះហើយ,Conjunctions,0
នៃ,Prepositions / Relational Words,14390
នោះ,Determiners & Quantifiers,9239
នោះជា,Determiners & Quantifiers,0
នៅជិតតែ,Prepositions / Relational Words,0
នៅតាម,Prepositions / Relational Words,0
នៅតាមកន្លែង,Prepositions / Relational Words,0
នៅតែ,Prepositions / Relational Words,883
នៅមកវិញ,Prepositions / Relational Words,0
នៅមុខគេ,Prepositions / Relational Words,0
នៅឡើយទេ,Question & Negation Words,0
បញ្ចូល,Conjunctions,224
បញ្ជាក់ថា,Auxiliary Verbs / Aspect Markers,0
បន្តិច,Determiners & Quantifiers,249
បន្ថយ,Function Nouns,111
បន្ថែមទៀត,Particles & Discourse Markers,0
បន្ទាប់,Prepositions / Relational Words,196
បន្ទាប់ពី,Prepositions / Relational Words,1815
បន្ទាប់ពីនេះ,Numbers & Time Expressions,0
បាន,Auxiliary Verbs / Aspect Markers,39983
បើក,Function Nouns,954
បើតម្រូវ,Conjunctions,0
បើតែប៉ុណ្ណោះ,Conjunctions,0
បើមាន,Conjunctions,0
បើមិន,Conjunctions,0
បំពេញការងារ,Function Nouns,0
ប៉ុណ្ណឹងហើយ,Particles & Discourse Markers,0
ប៉ុណ្ណោះ,Particles & Discourse Markers,821
ប៉ុន្តែ,Conjunctions,1794
ប៉ុន្នឹងក៏បាន,Particles & Discourse Markers,0
ប៉ុន្មានដង,Numbers & Time Expressions,0
ប៉ុន្មានពេលនោះ,Conjunctions,0
ប្រកប,Prepositions / Relational Words,138
ប្រកបដោយ,Particles & Discourse Markers,951
ប្រកបដោយភាព,Function Nouns,0
ប្រគល់ទៅ,Conjunctions,0
ប្រគល់ឲ្យ,Auxiliary Verbs / Aspect Markers,18
ប្រតិបត្តិ,Function Nouns,261
ប្រហែល,Conjunctions,714
ប្រហែលជា,Auxiliary Verbs / Aspect Markers,264
ប្រហែលជាមិន,Auxiliary Verbs / Aspect Markers,0
ប្រហែលតែ,Auxiliary Verbs / Aspect Markers,0
ប្រាកដ,Function Nouns,203
ប្រាកដជាទេ,Particles & Discourse Markers,0
ប្រាកដថា,Function Nouns,0
ប្រាកដមែន,Particles & Discourse Markers,0
ប្រាក់,Function Nouns,743
ប្រាប់ខ្លួនឯង,Pronouns,0
ប្រាំបួន,Numbers & Time Expressions,52
ប្រាំពីរ,Numbers & Time Expressions,88
ប្រែ,Auxiliary Verbs / Aspect Markers,216
ប្រែជាអ្វី,Prepositions / Relational Words,0
ប្រែទៅជាអ្វី,Prepositions / Relational Words,0
ផ្គត់ផ្គង់,Function Nouns,200
ផ្ដល់ជម្រើស,Auxiliary Verbs / Aspect Markers,0
ផ្ដល់តម្លៃដល់,Conjunctions,0
ផ្ដល់យោបល់,Auxiliary Verbs / Aspect Markers,0
ផ្ដល់ឱកាស,Auxiliary Verbs / Aspect Markers,0
ផ្ដើមពី,Prepositions / Relational Words,0
ផ្ដើមសម្រាប់,Prepositions / Relational Words,0
ផ្តល់កម្រិតខ្ពស់,Conjunctions,0
ផ្តល់ការកំណត់,Auxiliary Verbs / Aspect Markers,0
ផ្តល់ការគាំទ្រ,Auxiliary Verbs / Aspect Markers,0
ផ្តល់ការគិតគូរ,Conjunctions,0
ផ្តល់ការងារអ្នក,Conjunctions,0
ផ្តល់ការជូនដំណឹង,Conjunctions,0
ផ្តល់ការបញ្ចូលចិត្ត,Auxiliary Verbs / Aspect Markers,0
ផ្តល់ការបម្រុងទុក,Auxiliary Verbs / Aspect Markers,0
ផ្តល់ការប្រាប់,Auxiliary Verbs / Aspect Markers,0
ផ្តល់ការផ្តោតអារម្មណ៍,Conjunctions,0
ផ្តល់ការពិនិត្យ,Auxiliary Verbs / Aspect Markers,0
ផ្តល់ការរំឭក,Auxiliary Verbs / Aspect Markers,0
ផ្តល់ការលើកទឹកចិត្ត,Auxiliary Verbs / Aspect Markers,0
ផ្តល់ការអនុវត្ត,Conjunctions,0
ផ្តល់កំហិត,Auxiliary Verbs / Aspect Markers,0
ផ្តល់គុណតម្លៃ,Conjunctions,0
ផ្តល់ចំណែក,Conjunctions,0
ផ្តល់ចំលើយគ្នា,Auxiliary Verbs / Aspect Markers,0
ផ្តល់ចំអិន,Conjunctions,0
ផ្តល់ជាអ្វី,Conjunctions,0
ផ្តល់ជំនាញសុខាភិបាល,Auxiliary Verbs / Aspect Markers,0
ផ្តល់ជំនួយ,Conjunctions,0
ផ្តល់ទស្សនៈ,Auxiliary Verbs / Aspect Markers,0
ផ្តល់ទំនុកចិត្តក្នុង,Conjunctions,0
ផ្តល់ទំព័រ,Conjunctions,0
ផ្តល់នូវ,Auxiliary Verbs / Aspect Markers,0
ផ្តល់នូវសំណើ,Auxiliary Verbs / Aspect Markers,0
ផ្តល់បច្ចេកវិទ្យា,Conjunctions,0
ផ្តល់ផ្នែក,Conjunctions,0
ផ្តល់ពណ៌,Auxiliary Verbs / Aspect Markers,0
ផ្តល់ពេលវេលាឲ្យគ្នា,Conjunctions,0
ផ្តល់ព្រមាន,Auxiliary Verbs / Aspect Markers,0
ផ្តល់ភាពងាយស្រួល,Conjunctions,0
ផ្តល់ភាពជឿជាក់,Conjunctions,0
ផ្តល់ភាពជោគជ័យ,Conjunctions,0
ផ្តល់ភាពសំរាប់,Conjunctions,0
ផ្តល់មេរៀន,Conjunctions,0
ផ្តល់សិទ្ធិចូលរួម,Conjunctions,0
ផ្តល់សុខភាពនិងសន្តិភាព,Conjunctions,0
ផ្តល់សេចក្ដីណែនាំ,Conjunctions,0
ផ្តល់សេចក្ដីត្រូវបាន,Auxiliary Verbs / Aspect Markers,0
ផ្តល់អត្ថន័យច្បាស់,Auxiliary Verbs / Aspect Markers,0
ផ្តល់អនុសាសន៍,Auxiliary Verbs / Aspect Markers,0
ផ្តល់អាការៈ,Auxiliary Verbs / Aspect Markers,0
ផ្តល់អារម្មណ៍ដល់គ្នា,Conjunctions,0
ផ្តល់អាស្រ័យ,Auxiliary Verbs / Aspect Markers,0
ផ្តល់អាហារូបករណ៍,Conjunctions,0
ផ្តល់អំណោយ,Auxiliary Verbs / Aspect Markers,0
ផ្ទាល់,Determiners & Quantifiers,607
ផ្ទាល់ខ្លួន,Determiners & Quantifiers,136
ផ្ទុយ,Particles & Discourse Markers,93
ផ្ទុយនឹង,Conjunctions,0
ផ្ទុយពី,Prepositions / Relational Words,0
ផ្លាស់ប្ដូរខ្លួន,Auxiliary Verbs / Aspect Markers,0
ផ្លាស់ប្ដូរត្រឹមត្រូវ,Conjunctions,0
ផ្លាស់ប្ដូរនិស្ស័យ,Conjunctions,0
ផ្លាស់ប្ដូរសម័យ,Function Nouns,0
ពី,Conjunctions,9927
ពីព្រោះ,Conjunctions,159
ពុំមាន,Question & Negation Words,0
ពេញចិត្ត,Particles & Discourse Markers,128
ពេញមួយថ្ងៃ,Numbers & Time Expressions,0
ពេល,Numbers & Time Expressions,4237
ពេលដែលកន្លង,Numbers & Time Expressions,0
ពេលដែលឆាប់,Numbers & Time Expressions,0
ពេលដែលត្រូវ,Numbers & Time Expressions,0
ពេលដែលអាច,Conjunctions,0
ពេលណា,Question & Negation Words,74
ពេលណានោះហើយ,Numbers & Time Expressions,0
ពេលណាមិញ,Numbers & Time Expressions,0
ពេលណាមិញទេ,Conjunctions,0
ពេលណាមួយ,Numbers & Time Expressions,0
ពេលណាមួយក៏បាន,Numbers & Time Expressions,0
ពេលនេះ,Numbers & Time Expressions,384
ពេលនេះហើយ,Conjunctions,0
ពេលវេលាខ្លះ,Numbers & Time Expressions,0
ពេលវេលាច្រើន,Numbers & Time Expressions,0
ពេលវេលាដែល,Conjunctions,0
ពេលវេលាប៉ុណ្ណោះ,Particles & Discourse Markers,0
ពោលគឺ,Conjunctions,183
ពោលទៅ,Conjunctions,0
ព្យាយាមយ៉ាងខ្លាំង,Conjunctions,0
ព្រមទាំង,Conjunctions,835
ព្រមសន្មត់,Auxiliary Verbs / Aspect Markers,0
ព្រាត់ចិត្ត,Function Nouns,0
ព្រួយ,Function Nouns,31
ព្រោះថា,Conjunctions,134
ព្រោះថាអ្នក,Conjunctions,0
ព្រោះហេតុនេះ,Conjunctions,0
ព្រោះអញ្ចឹង,Conjunctions,0
ភាគណា,Determiners & Quantifiers,0
ភាគបន្ថែម,Determiners & Quantifiers,0
ភាគពេញ,Determiners & Quantifiers,0
ភាគរយ,Function Nouns,271
ភ្លឺ,Conjunctions,140
ភ្លេចចង់,Conjunctions,0
ភ្លេចត្រូវ,Conjunctions,0
ភ្លេចទៅ,Prepositions / Relational Words,0
ភ្លេចទៅវិញ,Conjunctions,0
ភ្លេចបញ្ជាក់,Function Nouns,0
ភ្លេចមិនបាន,Question & Negation Words,0
ភ្លេចយក,Conjunctions,0
ភ្លេចសុំព្យាបាល,Conjunctions,0
ភ្លេចស្រឡាញ់,Function Nouns,0
ភ្លេចហើយឯង,Particles & Discourse Markers,0
ភ្លេចអស់,Particles & Discourse Markers,0
ភ្លេចអ្វី,Question & Negation Words,0
មាន,Function Nouns,27127
មិន,Question & Negation Words,10325
មិនខុស,Question & Negation Words,0
មិនគិត,Question & Negation Words,0
មិនឃើញ,Question & Negation Words,0
មិនឃើញខុសគ្នា,Question & Negation Words,0
មិនងាយ,Question & Negation Words,0
មិនងាយស្រួល,Question & Negation Words,0
មិនចង់,Auxiliary Verbs / Aspect Markers,0
មិនចាំបាច់,Question & Negation Words,0
មិនច្បាស់,Question & Negation Words,0
មិនជឿ,Question & Negation Words,0
មិនដឹង,Question & Negation Words,0
មិនត្រឹមត្រូវ,Question & Negation Words,0
មិនត្រូវការ,Question & Negation Words,0
មិនត្រូវនិយាយ,Question & Negation Words,0
មិនទទួល,Conjunctions,0
មិនទាក់ទង,Question & Negation Words,0
មិនទាន់,Question & Negation Words,0
មិនទាន់ឃើញ,Question & Negation Words,0
មិនទាន់ចប់,Question & Negation Words,0
មិនទាន់ច្បាស់,Question & Negation Words,0
មិនទាន់ត្រូវ,Question & Negation Words,0
មិនទាន់បាន,Question & Negation Words,0
មិនទាន់ល្អ,Question & Negation Words,0
មិនទំនេរ,Question & Negation Words,0
មិនបង្ហាញ,Question & Negation Words,0
មិនបញ្ចូល,Question & Negation Words,0
មិនបន្ថែម,Question & Negation Words,0
មិនបាច់ខ្លាំង,Conjunctions,0
មិនបាច់ទាំងអស់,Determiners & Quantifiers,0
មិនបាច់បន្ថែម,Question & Negation Words,0
មិនបាន,Question & Negation Words,0
មិនបានច្បាស់,Question & Negation Words,0
មិនបានត្រឹមតែ,Question & Negation Words,0
មិនបាននិយាយតែ,Auxiliary Verbs / Aspect Markers,0
មិនបានស្រួល,Conjunctions,0
មិនព្រមទេ,Particles & Discourse Markers,0
មិនមាន,Question & Negation Words,0
មិនមើលឃើញ,Question & Negation Words,0
មិនមែន,Question & Negation Words,0
មិនមែនទេ,Particles & Discourse Markers,0
មិនលើកលែង,Question & Negation Words,0
មិនសម្ដែង,Question & Negation Words,0
មិនសូវ,Question & Negation Words,0
មិនសំខាន់,Question & Negation Words,0
មិនស្រប,Question & Negation Words,0
មិនស្អិត,Question & Negation Words,0
មិនស្អិតជាប់,Question & Negation Words,0
មិនអស់សំណើច,Question & Negation Words,0
មិនអាច,Auxiliary Verbs / Aspect Markers,0
មិនអើពើ,Question & Negation Words,0
មិនឲ្យសង្ឃឹម,Question & Negation Words,0
មុខ,Function Nouns,1026
មួយ,Numbers & Time Expressions,8299
មួយចំនួន,Determiners & Quantifiers,1189
មួយភ្លែត,Conjunctions,0
មែន,Particles & Discourse Markers,1060
មែនទេ,Question & Negation Words,0
មែនទែន,Particles & Discourse Markers,23
ម្នាក់,Numbers & Time Expressions,1187
ម្នាក់ឯង,Determiners & Quantifiers,71
ម្យ៉ាងទៀត,Conjunctions,102
យើង,Pronouns,2613
យើងខ្ញុំ,Pronouns,52
យើងទាំងអស់,Pronouns,0
យ៉ាង,Particles & Discourse Markers,3875
យ៉ាងខ្លាំង,Determiners & Quantifiers,0
យ៉ាងណា,Question & Negation Words,747
យ៉ាងណាក៏ដោយ,Conjunctions,0
យ៉ាងណាមិញ,Particles & Discourse Markers,83
របស់,Prepositions / Relational Words,20921
របស់ខ្ញុំ,Pronouns,0
របស់គាត់,Pronouns,0
របស់នាង,Pronouns,0
របស់ពួកគេ,Pronouns,0
រហូត,Numbers & Time Expressions,234
រហូតដល់,Conjunctions,927
រហូតទៅដល់,Prepositions / Relational Words,0
រីឯ,Conjunctions,158
រឺក៏,Conjunctions,19
រួមទាំង,Particles & Discourse Markers,715
លើ,Conjunctions,5882
លើកលែង,Conjunctions,71
លោក,Politeness & Honorifics,11358
ល្អ,Conjunctions,1916
ល្អណាស់,Particles & Discourse Markers,0
ល្អបំផុត,Determiners & Quantifiers,0
វា,Pronouns,3301
សព្វ,Determiners & Quantifiers,540
សព្វពេល,Numbers & Time Expressions,0
សម្រាប់,Function Nouns,3869
សរុបមក,Particles & Discourse Markers,0
សុទ្ធតែ,Determiners & Quantifiers,190
សូម,Politeness & Honorifics,1263
សូមជ្រាប,Auxiliary Verbs / Aspect Markers,0
សូមទន្ទឹង,Auxiliary Verbs / Aspect Markers,0
សូមធ្វើ,Politeness & Honorifics,0
សូមបញ្ជាក់,Auxiliary Verbs / Aspect Markers,0
សូមប្រាប់,Politeness & Honorifics,0
សូមព្យាបាល,Politeness & Honorifics,0
សូមរង់ចាំ,Politeness & Honorifics,0
សូមស្វាគមន៍,Pronouns,8
សូមឲ្យ,Politeness & Honorifics,48
សោះ,Particles & Discourse Markers,134
សំរាប់,Prepositions / Relational Words,385
ស្គាល់,Conjunctions,573
ស្ទើរតែ,Function Nouns,116
ហាក់នៅ,Prepositions / Relational Words,0
ហាក់បង្កប់,Particles & Discourse Markers,0
ហាក់បង្កើន,Auxiliary Verbs / Aspect Markers,0
ហាក់បាក់,Auxiliary Verbs / Aspect Markers,0
ហាក់បីដូចជា,Particles & Discourse Markers,32
ហាក់បីដូចម្តេច,Particles & Discourse Markers,0
ហាក់បែបនោះ,Particles & Discourse Markers,0
ហាក់មាន,Auxiliary Verbs / Aspect Markers,0
ហើយ,Particles & Discourse Markers,10636
ហើយត្រូវ,Conjunctions,0
ហើយនឹង,Auxiliary Verbs / Aspect Markers,0
ហេតុអ្វី,Question & Negation Words,0
ហ្នឹង,Conjunctions,96
ឡើង,Prepositions / Relational Words,2025
អញ្ចឹង,Conjunctions,37
អត់,Question & Negation Words,198
អាច,Auxiliary Verbs / Aspect Markers,4363
អាចជា,Auxiliary Verbs / Aspect Markers,0
អាចនឹង,Auxiliary Verbs / Aspect Markers,220
អំពី,Prepositions / Relational Words,2236
អ៊ីចឹង,Particles & Discourse Markers,23
អ្នក,Pronouns,5293
អ្នកណា,Pronouns,106
អ្នកទាំងអស់,Pronouns,0
អ្វី,Function Nouns,1556
អ្វីខ្លះ,Question & Negation Words,0
អ្វីដែល,Conjunctions,0
អ្វីៗ,Pronouns,0
ឥតឈប់ឈរ,Question & Negation Words,0
ឥឡូវ,Numbers & Time Expressions,64
ឥឡូវនេះ,Numbers & Time Expressions,210
ឯ,Particles & Discourse Markers,527
ឯង,Pronouns,1250
ឱកាស,Function Nouns,965
